City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,keflavik,64.0049,-22.5624,16.95,55,75,2.57,IS,1690484796
1,puerto natales,-51.7236,-72.4875,0.94,80,6,0.33,CL,1690484796
2,abepura,-2.6333,140.5833,24.45,83,40,1.03,ID,1690484796
3,hammerfest,70.6634,23.6821,10.25,81,75,3.09,NO,1690484797
4,kiunga,-6.1219,141.2906,22.29,99,95,0.96,PG,1690484797
5,rhinelander,45.6366,-89.4121,31.53,48,20,5.14,US,1690484797
6,east london,-33.0153,27.9116,13.52,94,0,2.57,ZA,1690484711
7,punta arenas,-53.15,-70.9167,1.58,75,2,2.68,CL,1690484797
8,port-aux-francais,-49.35,70.2167,5.63,86,56,14.57,TF,1690484797
9,grytviken,-54.2811,-36.5092,0.01,97,100,1.94,GS,1690484797
10,waitangi,-43.9535,-176.5597,7.12,59,58,12.26,NZ,1690484798
11,palmer,42.1584,-72.3287,31.91,52,98,0.45,US,1690484798
12,lompoc,34.6391,-120.4579,31.08,40,2,5.26,US,1690484798
13,edinburgh of the seven seas,-37.0676,-12.3116,10.33,54,77,5.33,SH,1690484798
14,pollenca,39.8768,3.0163,30.75,59,6,5.65,ES,1690484647
15,nadym,65.5333,72.5167,18.98,74,54,1.51,RU,1690484798
16,yamba,-5.9,22.3,24.85,26,0,1.87,CD,1690484799
17,adamstown,-25.066,-130.1015,19.28,59,9,1.57,PN,1690484799
18,hithadhoo,-0.6,73.0833,28.3,78,87,6.06,MV,1690484799
19,tukrah,32.5341,20.5791,27.62,74,27,7.06,LY,1690484799
20,howrah,22.5892,88.3103,27.0,94,40,2.57,IN,1690484799
21,iskateley,67.6803,53.1512,17.29,77,100,2.23,RU,1690484800
22,tamandare,-8.7597,-35.1047,25.66,79,11,4.43,BR,1690484800
23,puerto ayora,-0.7393,-90.3518,30.98,88,31,2.68,EC,1690484800
24,whitecourt,54.1502,-115.6855,13.58,100,75,2.57,CA,1690484800
25,vilyuysk,63.7553,121.6247,14.78,72,100,2.23,RU,1690484800
26,copala,16.65,-98.9833,33.24,53,86,3.95,MX,1690484800
27,khadan khak,30.7477,67.7085,23.86,62,97,1.92,PK,1690484800
28,albany,42.6001,-73.9662,30.36,81,49,0.45,US,1690484632
29,ushuaia,-54.8,-68.3,1.81,55,20,4.63,AR,1690484801
30,aripuana,-9.1667,-60.6333,36.44,21,20,1.81,BR,1690484801
31,polyarnyy,69.1989,33.4478,11.63,93,91,1.08,RU,1690484801
32,anadyr,64.75,177.4833,11.28,87,100,2.0,RU,1690484801
33,iqaluit,63.7506,-68.5145,12.85,62,40,3.09,CA,1690484801
34,pagar alam,-4.0167,103.2667,20.52,97,100,1.21,ID,1690484801
35,dhromolaxia,34.8755,33.5868,30.58,57,0,2.06,CY,1690484696
36,olonkinbyen,70.9221,-8.7187,5.0,89,100,5.65,SJ,1690484802
37,fada n'gourma,12.0622,0.3578,28.7,58,100,4.55,BF,1690484802
38,maua,-23.6678,-46.4614,20.7,86,84,4.76,BR,1690484708
39,utrik,11.2278,169.8474,28.43,79,100,8.78,MH,1690484802
40,dudinka,69.4058,86.1778,20.25,70,50,3.6,RU,1690484802
41,saint-joseph,-21.3667,55.6167,19.21,72,64,3.17,RE,1690484802
42,rundu,-17.9333,19.7667,19.32,28,6,2.63,NA,1690484803
43,fale old settlement,-9.3852,-171.2468,28.19,75,8,7.46,TK,1690484803
44,racine,42.7495,-88.0751,34.03,65,40,2.57,US,1690484803
45,lihue,21.9789,-159.3672,28.77,71,40,8.75,US,1690484803
46,kodiak,57.79,-152.4072,12.73,88,100,4.12,US,1690484803
47,yuzhno-kurilsk,44.0306,145.8556,19.09,93,23,1.8,RU,1690484804
48,saipan,15.1355,145.701,27.58,100,20,2.57,MP,1690484804
49,kailua-kona,19.6406,-155.9956,29.17,77,20,3.6,US,1690484804
50,mugia,43.1041,-9.2179,19.95,90,99,6.18,ES,1690484804
51,atafu village,-8.5421,-172.5159,27.73,80,30,7.43,TK,1690484804
52,masjed soleyman,31.9364,49.3039,37.59,9,0,1.85,IR,1690484804
53,lebu,-37.6167,-73.65,12.57,86,100,1.95,CL,1690484805
54,tommot,58.9564,126.2925,15.53,95,100,1.43,RU,1690484805
55,stanley,54.868,-1.6985,19.04,84,40,5.14,GB,1690484805
56,bukama,-9.2,25.85,23.7,30,50,0.97,CD,1690484805
57,cinque frondi,38.4162,16.0842,23.22,77,0,0.98,IT,1690484805
58,ribeira grande,38.5167,-28.7,23.76,94,40,7.2,PT,1690484805
59,prince george,53.9166,-122.753,15.34,92,100,1.54,CA,1690484747
60,enewetak,11.3474,162.3373,28.17,79,100,7.48,MH,1690484807
61,naze,28.3667,129.4833,25.52,87,67,5.37,JP,1690484808
62,invercargill,-46.4,168.35,5.11,85,100,2.8,NZ,1690484808
63,vadso,70.0744,29.7487,13.49,76,93,3.09,NO,1690484600
64,port elizabeth,-33.918,25.5701,12.83,83,0,3.3,ZA,1690484809
65,bredasdorp,-34.5322,20.0403,10.12,89,0,1.39,ZA,1690484809
66,envira,-7.3,-70.2167,36.37,26,5,1.51,BR,1690484809
67,qaqortoq,60.7167,-46.0333,7.16,72,100,1.22,GL,1690484809
68,college,64.8569,-147.8028,24.15,67,100,2.01,US,1690484560
69,isangel,-19.55,169.2667,19.54,64,27,5.94,VU,1690484810
70,port mathurin,-19.6833,63.4167,23.59,78,19,6.7,MU,1690484810
71,weiser,44.251,-116.9693,32.95,24,20,1.34,US,1690484810
72,isyangulovo,52.1909,52.1909,22.11,70,68,1.02,RU,1690484810
73,severnoye,56.3491,78.3619,14.8,93,55,1.86,RU,1690484810
74,puerto baquerizo moreno,-0.9,-89.6,27.55,74,20,6.17,EC,1690484811
75,west island,-12.1568,96.8225,23.99,83,75,8.75,CC,1690484811
76,bethel,41.3712,-73.414,33.34,66,75,6.69,US,1690484811
77,chibougamau,49.9168,-74.3659,21.79,37,0,2.66,CA,1690484562
78,enriquillo,17.9,-71.2333,32.82,66,100,5.59,DO,1690484811
79,itaituba,-4.2761,-55.9836,38.48,22,0,1.85,BR,1690484811
80,glace bay,46.1969,-59.957,29.38,70,100,3.13,CA,1690484812
